MsOfDay, Time,Price,Size
34815346,9:40:15:346,48.03,295
34815346,9:40:15:346,48.03,100
34815346,9:40:15:346,48.03,100
34815346,9:40:15:346,48.03,100
34815346,9:40:15:346,48.03,100
34815346,9:40:15:346,48.03,100
34815346,9:40:15:346,48.03,100
34815346,9:40:15:346,48.03,100
34815346,9:40:15:346,48.03,100
34815346,9:40:15:346,48.03,83
34815346,9:40:15:346,48.03,100
34815346,9:40:15:346,48.03,100
34815346,9:40:15:346,48.03,100
34815347,9:40:15:347,48.03,100
34815347,9:40:15:347,48.03,100
34815347,9:40:15:347,48.04,100
34815347,9:40:15:347,48.04,100
34815351,9:40:15:351,48.03,462
34815371,9:40:15:371,48.03,200
34815382,9:40:15:382,48.03,100
34815382,9:40:15:382,48.03,100
34815382,9:40:15:382,48.03,200
34815382,9:40:15:382,48.03,100
34815382,9:40:15:382,48.03,200
34815920,9:40:15:920,48.03,200
34815920,9:40:15:920,48.03,100
34820068,9:40:20:68,48.03,100
34820069,9:40:20:69,48.03,100
34820119,9:40:20:119,48.03,100
34820143,9:40:20:143,48.03,100
34824945,9:40:24:945,48.03,100
34824961,9:40:24:961,48.03,100
34824962,9:40:24:962,48.03,100
34825977,9:40:25:977,48.03,100
34827381,9:40:27:381,48.03,100
34827382,9:40:27:382,48.03,100
34829421,9:40:29:421,48.035,200
34831333,9:40:31:333,48.03,100
34831333,9:40:31:333,48.03,100
34831333,9:40:31:333,48.04,100
34831333,9:40:31:333,48.04,100
34831333,9:40:31:333,48.04,100
34846075,9:40:46:75,48.05,100
34846084,9:40:46:84,48.05,100
34846084,9:40:46:84,48.05,100
34846087,9:40:46:87,48.05,100
34849948,9:40:49:948,48.05,100
34849952,9:40:49:952,48.05,100
34850095,9:40:50:95,48.05,300
34850095,9:40:50:95,48.05,200
34852258,9:40:52:258,48.05,100
34852264,9:40:52:264,48.05,200
34853194,9:40:53:194,48.05,100
34853369,9:40:53:369,48.05,100
34855988,9:40:55:988,48.05,200
34857079,9:40:57:79,48.07,200
34857319,9:40:57:319,48.07,100
34858342,9:40:58:342,48.08,100
34858342,9:40:58:342,48.08,100
34858342,9:40:58:342,48.08,100
34858342,9:40:58:342,48.08,300
34858345,9:40:58:345,48.09,65
34858397,9:40:58:397,48.08,200
34861336,9:41:1:336,48.08,100
34861336,9:41:1:336,48.08,100
34861586,9:41:1:586,48.08,200
34862977,9:41:2:977,48.09,100
34862977,9:41:2:977,48.09,100
34862977,9:41:2:977,48.09,235
34863040,9:41:3:40,48.09,65
34863565,9:41:3:565,48.08,100
34864543,9:41:4:543,48.09,100
34864543,9:41:4:543,48.09,100
34864544,9:41:4:544,48.09,135
34867002,9:41:7:2,48.09,184
34867008,9:41:7:8,48.09,100
34867021,9:41:7:21,48.09,16
34867021,9:41:7:21,48.08,84
34867021,9:41:7:21,48.08,216
34867023,9:41:7:23,48.07,100
34867644,9:41:7:644,48.07,1000
34867645,9:41:7:645,48.07,100
34872493,9:41:12:493,48.05,200
34873069,9:41:13:69,48.06,500
34875858,9:41:15:858,48.07,2000
34875864,9:41:15:864,48.07,2535
34882008,9:41:22:8,48.06,2
34910224,9:41:50:224,48.04,66
34917806,9:41:57:806,48.04,100
34917815,9:41:57:815,48.04,200
34917819,9:41:57:819,48.04,100
34918141,9:41:58:141,48.03,30
34918141,9:41:58:141,48.03,100
34918141,9:41:58:141,48.03,100
34918141,9:41:58:141,48.03,100
34918141,9:41:58:141,48.03,98
34918141,9:41:58:141,48.03,100
34918141,9:41:58:141,48.03,100
34918141,9:41:58:141,48.03,100
34918142,9:41:58:142,48.03,100
34918142,9:41:58:142,48.03,100
34918143,9:41:58:143,48.03,100
34918143,9:41:58:143,48.03,100
34918144,9:41:58:144,48.03,100
34918144,9:41:58:144,48.03,100
34918163,9:41:58:163,48.03,100
34918163,9:41:58:163,48.03,100
34918164,9:41:58:164,48.03,100
34918164,9:41:58:164,48.03,100
34918167,9:41:58:167,48.04,200
34918167,9:41:58:167,48.04,100
34918167,9:41:58:167,48.04,100
34922179,9:42:2:179,48.03,100
34922179,9:42:2:179,48.03,100
34922181,9:42:2:181,48.03,100
34922181,9:42:2:181,48.03,100
34923207,9:42:3:207,48.03,100
34923207,9:42:3:207,48.03,100
34923207,9:42:3:207,48.03,100
34923207,9:42:3:207,48.03,100
34923208,9:42:3:208,48.03,100
34926114,9:42:6:114,48.03,100
34928964,9:42:8:964,48.03,100
34930068,9:42:10:68,48.03,100
34934359,9:42:14:359,48.03,100
34934368,9:42:14:368,48.03,100
34934378,9:42:14:378,48.04,100
34934379,9:42:14:379,48.04,100
34935013,9:42:15:13,48.04,100
34935014,9:42:15:14,48.035,100
34935017,9:42:15:17,48.035,100
34935020,9:42:15:20,48.035,100
34935024,9:42:15:24,48.035,100
34935027,9:42:15:27,48.035,100
34935141,9:42:15:141,48.0375,100
34935231,9:42:15:231,48.0375,100
34935359,9:42:15:359,48.04,100
34935545,9:42:15:545,48.03,5
34935548,9:42:15:548,48.035,600
34941127,9:42:21:127,48.03,67
34942909,9:42:22:909,48.03,100
34942915,9:42:22:915,48.03,100
34942915,9:42:22:915,48.03,100
34942915,9:42:22:915,48.03,1600
34942915,9:42:22:915,48.03,100
34942918,9:42:22:918,48.03,100
34942918,9:42:22:918,48.04,100
34942918,9:42:22:918,48.04,100
34942922,9:42:22:922,48.03,100
34942922,9:42:22:922,48.03,200
34943225,9:42:23:225,48.04,200
34946956,9:42:26:956,48.035,200
34948028,9:42:28:28,48.04,100
34948165,9:42:28:165,48.04,100
34948174,9:42:28:174,48.04,100
34948176,9:42:28:176,48.04,100
34948177,9:42:28:177,48.05,100
34948177,9:42:28:177,48.05,300
34949747,9:42:29:747,48.05,200
34949748,9:42:29:748,48.06,202
34949748,9:42:29:748,48.06,100
34949748,9:42:29:748,48.06,298
34949748,9:42:29:748,48.06,100
34949748,9:42:29:748,48.06,100
34949748,9:42:29:748,48.06,100
34953390,9:42:33:390,48.0626,633
34953635,9:42:33:635,48.06,400
34953635,9:42:33:635,48.06,100
34953659,9:42:33:659,48.06,100
34954172,9:42:34:172,48.06,200
34954172,9:42:34:172,48.06,100
34954172,9:42:34:172,48.06,100
34954172,9:42:34:172,48.06,100
34954172,9:42:34:172,48.06,100
34954206,9:42:34:206,48.06,100
34954825,9:42:34:825,48.06,100
34956416,9:42:36:416,48.06,100
34958638,9:42:38:638,48.06,100
34958790,9:42:38:790,48.06,300
34961012,9:42:41:12,48.05,300
34961012,9:42:41:12,48.05,200
34961013,9:42:41:13,48.05,495
34961013,9:42:41:13,48.05,5
34961499,9:42:41:499,48.06,100
34961499,9:42:41:499,48.06,100
34961499,9:42:41:499,48.06,100
34961500,9:42:41:500,48.06,100
34961525,9:42:41:525,48.06,100
34963294,9:42:43:294,48.06,100
34963316,9:42:43:316,48.06,100
34963316,9:42:43:316,48.06,100
34963317,9:42:43:317,48.06,100
34963432,9:42:43:432,48.06,300
34964139,9:42:44:139,48.07,100
34964139,9:42:44:139,48.07,300
34966305,9:42:46:305,48.07,100
34967965,9:42:47:965,48.07,100
34967966,9:42:47:966,48.07,300
34970148,9:42:50:148,48.07,2000
34970193,9:42:50:193,48.07,1200
34970215,9:42:50:215,48.07,3000
34970673,9:42:50:673,48.0454,100
34971030,9:42:51:30,48.07,100
34972683,9:42:52:683,48.05,100
34979352,9:42:59:352,48.05,100
34979357,9:42:59:357,48.05,100
34980856,9:43:0:856,48.06,100
34981898,9:43:1:898,48.05,100
34981906,9:43:1:906,48.055,100
34982998,9:43:2:998,48.06,103
34983926,9:43:3:926,48.06,700
34984417,9:43:4:417,48.06,500
34986091,9:43:6:91,48.04,100
34986113,9:43:6:113,48.04,100
34986195,9:43:6:195,48.04,200
34986965,9:43:6:965,48.04,200
34987649,9:43:7:649,48.03,100
34987654,9:43:7:654,48.03,100
34987655,9:43:7:655,48.03,100
34987656,9:43:7:656,48.03,100
34987658,9:43:7:658,48.04,200
34988317,9:43:8:317,48.03,100
34988319,9:43:8:319,48.03,100
34988320,9:43:8:320,48.04,100
34988323,9:43:8:323,48.03,100
34988323,9:43:8:323,48.03,100
34988323,9:43:8:323,48.03,100
34988323,9:43:8:323,48.03,100
34988323,9:43:8:323,48.02,100
34988324,9:43:8:324,48.02,100
34988324,9:43:8:324,48.02,100
34988324,9:43:8:324,48.02,100
34988324,9:43:8:324,48.02,100
34988325,9:43:8:325,48.02,100
34988325,9:43:8:325,48.02,100
34988325,9:43:8:325,48.03,100
34988335,9:43:8:335,48.03,100
34988335,9:43:8:335,48.03,100
34988335,9:43:8:335,48.03,100
34988336,9:43:8:336,48.03,100
34988337,9:43:8:337,48.03,100
34988345,9:43:8:345,48.03,100
34988345,9:43:8:345,48.03,100
34989866,9:43:9:866,48.04,300
34989866,9:43:9:866,48.04,100
34989867,9:43:9:867,48.04,100
34989867,9:43:9:867,48.05,100
34989867,9:43:9:867,48.05,100
34990869,9:43:10:869,48.05,100
34997905,9:43:17:905,48.07,100
34997905,9:43:17:905,48.07,100
34997905,9:43:17:905,48.07,100
